Service Name,Physical Address Line 1,Physical Address Line 2,Physical Address Suburb,Physical Address State,Physical Address Post Code,ACPR_Name,Care Type,Residential Places,Home Care Places,Restorative Care Places,Provider Name,Organisation Type,ABS Remoteness,Latitude,Longitude,2021-22 Australian Government Funding
Hastings Macleay Transitional Care Service,19-31 Morton Street,,PORT MACQUARIE,NSW,2444,Mid North Coast,Transition Care,,,32,NSW State Government (NSW Ministry of Health),State Government,Inner Regional Australia,-31.43655676,152.897335,"$2,102,453.88 "
Tablelands Cluster Transitional Aged Care Service,butler Street,,ARMIDALE,NSW,2350,New England,Transition Care,,,14,NSW State Government (NSW Ministry of Health),State Government,Inner Regional Australia,-30.51006262,151.6576001,"$708,987.73 "
Tallwoods Corner Aged Care Service,1 Myra Street,,WAHROONGA,NSW,2076,Northern Sydney,Residential,76,,,I & E Klein Investments Pty Ltd,Private Incorporated Body,Major Cities of Australia,-33.71171116,151.1093966,"$4,256,062.82 "
Mark Donaldson VC House,301 Galston Road,,GALSTON,NSW,2159,Northern Sydney,Residential,74,,,RSL LifeCare Limited,Community Based,Major Cities of Australia,-33.65529281,151.055782,"$4,560,555.57 "
Bupa Baulkham Hills,4 The Cottell Way,,BAULKHAM HILLS,NSW,2153,Western Sydney,Residential,144,,,Bupa Aged Care Australia Pty Ltd,Private Incorporated Body,Major Cities of Australia,-33.755058,150.9880879,"$11,561,493.61 "
Rocky Point Residence,149-157 Rocky Point Road,,BEVERLEY PARK,NSW,2217,South East Sydney,Residential,77,,,The Sisters of Our Lady of China Health Care Pty Ltd,Private Incorporated Body,Major Cities of Australia,-33.9796102,151.136276,"$6,324,487.77 "
Winston Hillside Care Community,226 Windsor Road,,WINSTON HILLS,NSW,2153,Western Sydney,Residential,95,,,DPG Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,-33.7727199,150.9992219,"$7,447,473.05 "
SummitCare Baulkham Hills,5 Bass Drive,,BAULKHAM HILLS,NSW,2153,Western Sydney,Residential,232,,,SummitCare Baulkham Hills (NSW) Pty Ltd,Private Incorporated Body,Major Cities of Australia,-33.761079,150.975348,"$12,036,011.69 "
Moran Engadine,99 Caldarra Avenue,,ENGADINE,NSW,2233,South East Sydney,Residential,156,,,Moran Australia (Residential Aged Care) Pty Limited,Private Incorporated Body,Major Cities of Australia,-34.06485866,151.0141748,"$8,249,478.03 "
Bupa Bankstown,82 Allum Street,,YAGOONA,NSW,2199,South West Sydney,Residential,146,,,Bupa Aged Care Australia Pty Ltd,Private Incorporated Body,Major Cities of Australia,-33.9111648,151.026129,"$12,140,217.79 "
Eugowra Multi-Purpose Service,Cooper Street,,EUGOWRA,NSW,2806,Central West,Multi-Purpose Service,13,,,Western NSW Local Health District,State Government,Outer Regional Australia,-33.42455624,148.3653947,"$909,219.56 "
Coonamble Multi-Purpose Service,150 Castlereagh Street,,COONAMBLE,NSW,2829,Orana Far West,Multi-Purpose Service,18,4,,Western NSW Local Health District,State Government,Remote Australia,-30.96509382,148.3876662,"$1,563,298.75 "
Balranald Multi-Purpose Service,41-43 Court Street,,BALRANALD,NSW,2715,Orana Far West,Multi-Purpose Service,15,,,Far West Local Health District,State Government,Remote Australia,-34.645109,143.569428,"$1,233,722.81 "
Newmarch House,50-52 Manning Street,,KINGSWOOD,NSW,2747,Nepean,Residential,102,,,Anglican Community Services,Religious,Major Cities of Australia,-33.77100466,150.7257501,"$6,628,571.26 "
Pathways Cronulla Pines,31-35 Sturt Road,,CRONULLA,NSW,2230,South East Sydney,Residential,169,,,Pathways Aged Care Pty Limited,Private Incorporated Body,Major Cities of Australia,-34.04200792,151.1478492,"$10,011,701.64 "
Chiswick Manor Care Community,2 Windward Parade,,CHISWICK,NSW,2046,Inner West,Residential,117,,,DPG Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,-33.85126543,151.1331631,"$7,303,172.89 "
Southern NSW Transitional Aged Care Service,4 Bent Street,,COOMA,NSW,2630,Southern Highlands,Transition Care,,,61,NSW State Government (NSW Ministry of Health),State Government,Inner Regional Australia,-36.24373717,149.1305084,"$4,130,310.85 "
Alkira Gardens,2 Animbo Street,,MIRANDA,NSW,2228,South East Sydney,Residential,90,,,The Sisters of Our Lady of China Health Care Pty Ltd,Private Incorporated Body,Major Cities of Australia,-34.03929715,151.1004878,"$5,793,032.10 "
Wesley Rayward,3 Dalmar Place,,CARLINGFORD,NSW,2118,Western Sydney,Residential,74,,,Wesley Community Services Limited,Charitable,Major Cities of Australia,-33.7834858,151.0618227,"$4,217,676.71 "
Anglicare Barry Marsh House,2-24 Grice Street,,ORAN PARK,NSW,2570,South West Sydney,Residential,80,,,Anglican Community Services,Religious,Major Cities of Australia,-34.00573699,150.7433238,"$4,585,408.52 "
St Brigid's Green Maroubra,220 Maroubra Road,,MAROUBRA,NSW,2035,South East Sydney,Residential,66,,,Greengate Care Pty Ltd,Private Incorporated Body,Major Cities of Australia,-33.94171984,151.2432782,"$4,274,396.25 "
Gumleigh Gardens Hostel,29-35 Shaw Street,,WAGGA WAGGA,NSW,2650,Riverina/Murray,Residential,44,,,United Protestant Association of NSW Limited,Charitable,Inner Regional Australia,-35.11427844,147.3552683,"$3,283,307.94 "
The Royce Manor,123-135 Mulgoa Road,,PENRITH,NSW,2750,Nepean,Residential,128,,,The Royce Aged Care Pty Ltd,Private Incorporated Body,Major Cities of Australia,-33.75822121,150.677741,"$6,932,277.07 "
Warrigal Care Shell Cove,50 Harbour Boulevard,,SHELL COVE,NSW,2529,Illawarra,Residential,131,,,Warrigal Care,Charitable,Major Cities of Australia,-34.5849021,150.8616508,"$8,981,149.23 "
Manilla Multi-Purpose Service,Court Street,,MANILLA,NSW,2346,New England,Multi-Purpose Service,40,,,Hunter New England Local Health District,State Government,Outer Regional Australia,-30.75032977,150.7205419,"$2,220,527.89 "
Werris Creek Multi-Purpose Service,22-34 North Street,,WERRIS CREEK,NSW,2341,New England,Multi-Purpose Service,12,4,,Hunter New England Local Health District,State Government,Inner Regional Australia,-31.34648563,150.6525186,"$897,028.56 "
Lockhart Multi-Purpose Service,49-53 Hebden Street,,LOCKHART,NSW,2656,Riverina/Murray,Multi-Purpose Service,15,,,Murrumbidgee Local Health District,State Government,Outer Regional Australia,-35.22233434,146.7190682,"$1,054,580.81 "
Gundagai Multi-Purpose Service,Gundagai Hospital 50 Tor Street,,GUNDAGAI,NSW,2722,Riverina/Murray,Multi-Purpose Service,18,,,Murrumbidgee Local Health District,State Government,Inner Regional Australia,-35.05236321,148.1021917,"$1,260,167.06 "
Wilcannia Multi-Purpose Service,14 Ross Street,,WILCANNIA,NSW,2836,Orana Far West,Multi-Purpose Service,3,5,,Far West Local Health District,State Government,Very Remote Australia,-31.556395,143.385321,"$395,309.26 "
Homewood Gardens,60-68 Regent Street,,BEXLEY,NSW,2207,South East Sydney,Residential,43,,,Homewood Care Pty Limited,Private Incorporated Body,Major Cities of Australia,-33.95431237,151.1121811,"$2,319,212.64 "
Catholic Healthcare St Paul's Residential Aged Care,27 Eastern Valley Way,,NORTHBRIDGE,NSW,2063,Northern Sydney,Residential,40,,,Catholic Healthcare Limited,Charitable,Major Cities of Australia,-33.80772632,151.208868,"$1,993,513.89 "
Gulgong Multi-Purpose Service,34 Goolma Road,,GULGONG,NSW,2852,Orana Far West,Multi-Purpose Service,6,,,Western NSW Local Health District,State Government,Outer Regional Australia,-32.366737,149.522034,"$431,177.81 "
Broken Hill Transitional Aged Care Service,176 Thomas Street,,BROKEN HILL,NSW,2880,Orana Far West,Transition Care,,,8,NSW State Government (NSW Ministry of Health),State Government,Outer Regional Australia,-31.94777382,141.4539498,"$152,751.54 "
Mehi Cluster Transitional Aged Care Service,65 Gibbons Street,,NARRABRI,NSW,2390,New England,Transition Care,,,10,NSW State Government (NSW Ministry of Health),State Government,Outer Regional Australia,-30.33091496,149.7781272,"$567,139.33 "
Northern Sydney Transitional Care Unit,2 B Morgan Road,,BELROSE,NSW,2085,Northern Sydney,Transition Care,,,18,NSW State Government (NSW Ministry of Health),State Government,Major Cities of Australia,-33.7232747,151.2192574,"$962,198.93 "
Blacktown Transitional Aged Care Service,c/-Blacktown Hospital,Blacktown Road,BLACKTOWN,NSW,2148,Western Sydney,Transition Care,,,25,NSW State Government (NSW Ministry of Health),State Government,Major Cities of Australia,-33.77362558,150.9155707,"$1,194,643.60 "
Markmoran at Vaucluse,2 Laguna Street,,VAUCLUSE,NSW,2030,South East Sydney,Residential,91,,,Mark Moran Group Pty Limited,Private Incorporated Body,Major Cities of Australia,-33.858658,151.280168,"$3,996,711.04 "
Southern Cross Care Lavington Residential Aged Care,286 Warren Street,,LAVINGTON,NSW,2641,Riverina/Murray,Residential,24,,,Southern Cross Care (NSW & ACT) Limited,Religious,Inner Regional Australia,-36.04239775,146.9541553,"$1,546,054.96 "
RFBI Dubbo Masonic Village,2 Capstan Drive,,DUBBO,NSW,2830,Orana Far West,Residential,70,,,Royal Freemasons' Benevolent Institution,Charitable,Inner Regional Australia,-32.26217972,148.6457527,"$4,215,731.44 "
Regis Elermore Vale,156 Cardiff Road,,ELERMORE VALE,NSW,2287,Hunter,Residential,120,,,Regis Aged Care Pty Ltd,Private Incorporated Body,Major Cities of Australia,-32.92202715,151.6695328,"$8,634,734.43 "
HammondCare - Wahroonga,"3-9 Woonona Avenue, South",,WAHROONGA,NSW,2076,Northern Sydney,Residential,57,,,HammondCare,Charitable,Major Cities of Australia,-33.71785479,151.1140019,"$3,491,774.48 "
Ron Middleton VC Gardens,1 Wirraway Close,,NORTH RICHMOND,NSW,2754,Nepean,Residential,80,,,RSL LifeCare Limited,Community Based,Major Cities of Australia,-33.58465071,150.7031006,"$6,074,854.21 "
St Basil's Randwick,57-63 St Pauls Street,,RANDWICK,NSW,2031,South East Sydney,Residential,113,,,St Basil's Homes,Charitable,Major Cities of Australia,-33.91986584,151.2443681,"$5,686,725.40 "
John Edmondson VC Gardens,120-130 Tenth Avenue,,AUSTRAL,NSW,2179,South West Sydney,Residential,64,,,RSL LifeCare Limited,Community Based,Major Cities of Australia,-33.933276,150.810737,"$3,733,652.20 "
Benjamin Short Grove,130 Huntley Road,,ORANGE,NSW,2800,Central West,Residential,60,,,Mission Australia,Charitable,Inner Regional Australia,-33.31736025,149.0939552,"$4,485,846.46 "
St Vincent's Care Services Bronte,363-367 Bronte Road,,BRONTE,NSW,2024,South East Sydney,Residential,105,,,St Vincent's Care Services Ltd.,Religious,Major Cities of Australia,-33.90345863,151.2604396,"$7,183,577.24 "
Fromelles Manor,45 McKenzie Street,,LISMORE,NSW,2480,Far North Coast,Residential,63,,,RSL LifeCare Limited,Community Based,Inner Regional Australia,-28.81207228,153.2891071,"$3,628,591.56 "
HammondCare - Cardiff,158 Macquarie Road,,CARDIFF,NSW,2285,Hunter,Residential,99,,,HammondCare,Charitable,Major Cities of Australia,-32.954927,151.657184,"$6,600,891.53 "
Hillston Multi-Purpose Service,48 C Burns Street,,HILLSTON,NSW,2675,Riverina/Murray,Multi-Purpose Service,10,,,Murrumbidgee Local Health District,State Government,Remote Australia,-33.479113,145.538556,"$815,785.61 "
Peak Hill Multi-Purpose Service,Newell Highway,,PEAK HILL,NSW,2869,Central West,Multi-Purpose Service,10,,,Western NSW Local Health District,State Government,Outer Regional Australia,-32.76290856,148.2099292,"$695,554.61 "
CASS Residential Aged Care Facility,67-75 Fifth Avenue,,CAMPSIE,NSW,2194,Inner West,Residential,63,,,Chinese Australian Services Society Limited,Community Based,Major Cities of Australia,-33.90424221,151.0999544,"$5,504,870.01 "
Annie Green Court,47 Redfern Street,,REDFERN,NSW,2016,South East Sydney,Residential,73,,,Mission Australia,Charitable,Major Cities of Australia,-33.89349044,151.2077825,"$5,090,008.19 "
Arcare Oatlands,23 Prindle Street,,OATLANDS,NSW,2117,Western Sydney,Residential,114,,,Arcare Pty Ltd,Private Incorporated Body,Major Cities of Australia,-33.794322,151.024886,"$7,740,876.82 "
Columbia Aged Care Services - Oberon Village,115 Albion Street,,OBERON,NSW,2787,Central West,Residential,70,,,Columbia Nursing Homes Pty Ltd,Private Incorporated Body,Inner Regional Australia,-33.70155629,149.8718929,"$3,342,912.48 "
Abel Tasman Village Community Care Packages,222 Waldron Road,,CHESTER HILL,NSW,2162,South West Sydney,Home Care,,,,The Abel Tasman Village Association Ltd,Community Based,Major Cities of Australia,-33.88301488,151.0001665,"$873,174.61 "
Ada Caring Connections CACPs,93-95 Angus Avenue,,KANDOS,NSW,2848,Orana Far West,Home Care,,,,RSL LifeCare Limited,Community Based,Inner Regional Australia,-32.85842584,149.979617,"$421,839.45 "
ADSSI Limited,3 A Pioneer Avenue,,TUGGERAH,NSW,2259,Central Coast,Home Care,,,,ADSSI Limited,Private Incorporated Body,Major Cities of Australia,-33.31717609,151.4217418,"$10,238,648.06 "
Bethany Aged Care Plus Home Care,2-6 Gray Street,,PORT MACQUARIE,NSW,2444,Mid North Coast,Home Care,,,,The Salvation Army (NSW) Property Trust,Charitable,Inner Regional Australia,-31.43668317,152.9146412,"$769,937.34 "
Allawah Hostel And Community Aged Care Packages,60 Mirrool Street,,COOLAMON,NSW,2701,Riverina/Murray,Home Care,,,,Coolamon Shire Council,Local Government,Inner Regional Australia,-34.81290041,147.1974604,"$1,562,389.71 "
Anglican Care Home Care Lake Macquarie,87 Toronto Road,,BOORAGUL,NSW,2284,Hunter,Home Care,,,,Anglican Care,Charitable,Major Cities of Australia,-32.96986951,151.6047613,"$4,411,519.17 "
Anglican Care Home Care Wyong,171 Mataram Road,,WOONGARRAH,NSW,2259,Central Coast,Home Care,,,,Anglican Care,Charitable,Major Cities of Australia,-33.23884728,151.4739752,"$1,818,901.61 "
ARV St George CACP,"Suite 101, Level 1, 530 Botany Road",305 Princes Highway,BEACONSFIELD,NSW,2015,South East Sydney,Home Care,,,,Anglican Community Services,Religious,Major Cities of Australia,-33.9142355,151.2006855,"$247,345.37 "
ARV Bowral and District CACP,Suite 2,94 Main Street,MITTAGONG,NSW,2575,South West Sydney,Home Care,,,,Anglican Community Services,Religious,Inner Regional Australia,-34.45084644,150.4498766,"$103,320.63 "
ARV Shoalhaven CACP,2/5 Tallyan Point Road,Burton Street,BASIN VIEW,NSW,2540,Illawarra,Home Care,,,,Anglican Community Services,Religious,Inner Regional Australia,-35.09096102,150.5631404,"$270,338.61 "
ANHF CACPs - South East Sydney,528-538 Jones Street,,ULTIMO,NSW,2007,South East Sydney,Home Care,,,,Australian Nursing Home Foundation Limited,Charitable,Major Cities of Australia,-33.88058615,151.1982318,"$966,226.36 "
ANHF CACPs - South West Sydney,17 Greenfield Road,,GREENFIELD PARK,NSW,2176,South West Sydney,Home Care,,,,Australian Nursing Home Foundation Limited,Charitable,Major Cities of Australia,-33.87139109,150.8924171,"$893,547.12 "
ANHF Flexicare - Western Sydney - EACH,413 Beamish Street,,CAMPSIE,NSW,2194,Inner West,Home Care,,,,Australian Nursing Home Foundation Limited,Charitable,Major Cities of Australia,-33.91720575,151.1046079,"$160,800.00 "
ANHF Flexicare - Western Sydney - EACHD,413 Beamish Street,,CAMPSIE,NSW,2194,Inner West,Home Care,,,,Australian Nursing Home Foundation Limited,Charitable,Major Cities of Australia,-33.91720575,151.1046079,"$97,922.35 "
ARV Botany CACP,"Suite 101, Level 1, 530 Botany Road",,BEACONSFIELD,NSW,2015,South East Sydney,Home Care,,,,Anglican Community Services,Religious,Major Cities of Australia,-33.9142355,151.2006855,"$2,506,180.79 "
ARV Forestville CACP,91 a Kurrajong Avenue,14 Narabang Way,MOUNT DRUITT,NSW,2770,Western Sydney,Home Care,,,,Anglican Community Services,Religious,Major Cities of Australia,-33.763222,150.807805,"$1,147,980.28 "
ARV Hornsby/Ku-ring-gai CACP,91 a Kurrajong Avenue,6-18 Bridge Road,MOUNT DRUITT,NSW,2770,Western Sydney,Home Care,,,,Anglican Community Services,Religious,Major Cities of Australia,-33.763222,150.807805,"$1,288,035.32 "
ARV Dapto CACP,11 Military Road,Lindsay Evans Place,PORT KEMBLA,NSW,2505,Illawarra,Home Care,,,,Anglican Community Services,Religious,Major Cities of Australia,-34.47867285,150.9003089,"$389,447.23 "
ARV Eastern Suburbs CACP,"Suite 101, Level 1, 530 Botany Road",72 O'Riordan Street,BEACONSFIELD,NSW,2015,South East Sydney,Home Care,,,,Anglican Community Services,Religious,Major Cities of Australia,-33.9142355,151.2006855,"$172,764.61 "
ARV Eurobodalla CACP,Shop 8,59 Vulcan Street,MORUYA,NSW,2537,Southern Highlands,Home Care,,,,Anglican Community Services,Religious,Inner Regional Australia,-35.90939401,150.0806331,"$1,860,411.03 "
ARV Hungarian CACP,"Suite 101, Level 1, 530 Botany Road",72 O'Riordan Street,BEACONSFIELD,NSW,2015,South East Sydney,Home Care,,,,Anglican Community Services,Religious,Major Cities of Australia,-33.9142355,151.2006855,"$191,646.78 "
ARV Illawarra EACH,11 Military Road,,PORT KEMBLA,NSW,2505,Illawarra,Home Care,,,,Anglican Community Services,Religious,Major Cities of Australia,-34.47867285,150.9003089,"$279,704.80 "
ARV Illawarra EACH Dementia,11 Military Road,,PORT KEMBLA,NSW,2505,Illawarra,Home Care,,,,Anglican Community Services,Religious,Major Cities of Australia,-34.47867285,150.9003089,"$2,276,503.42 "
ARV Nepean EACH,Suite 1,12 Tindale Street,PENRITH,NSW,2750,Nepean,Home Care,,,,Anglican Community Services,Religious,Major Cities of Australia,-33.75479981,150.6979416,"$52,330.70 "
ARV Nepean EACH Dementia,Suite 1,12 Tindale Street,PENRITH,NSW,2750,Nepean,Home Care,,,,Anglican Community Services,Religious,Major Cities of Australia,-33.75479981,150.6979416,"$13,466,469.93 "
ARV Northern Beaches EACH Dementia,91 a Kurrajong Avenue,14 Narabang Way,MOUNT DRUITT,NSW,2770,Western Sydney,Home Care,,,,Anglican Community Services,Religious,Major Cities of Australia,-33.763222,150.807805,"$6,146,324.43 "
ARV Northern Beaches EACH,91 a Kurrajong Avenue,14 Narabang Way,MOUNT DRUITT,NSW,2770,Western Sydney,Home Care,,,,Anglican Community Services,Religious,Major Cities of Australia,-33.763222,150.807805,"$157,203.00 "
ARV Northern Sydney EACH Dementia,91 a Kurrajong Avenue,6-18 Bridge Road,MOUNT DRUITT,NSW,2770,Western Sydney,Home Care,,,,Anglican Community Services,Religious,Major Cities of Australia,-33.763222,150.807805,"$55,165.03 "
ARV Northern Sydney EACH,91 a Kurrajong Avenue,6-18 Bridge Road,MOUNT DRUITT,NSW,2770,Western Sydney,Home Care,,,,Anglican Community Services,Religious,Major Cities of Australia,-33.763222,150.807805,"$69,093.41 "
ARV Public Housing CACP,"Suite 101, Level 1, 530 Botany Road",72 O'Riordan Street,BEACONSFIELD,NSW,2015,South East Sydney,Home Care,,,,Anglican Community Services,Religious,Major Cities of Australia,-33.9142355,151.2006855,"$260,208.04 "
ARV Randwick CACP,"Suite 101, Level 1, 530 Botany Road",72 O'Riordan Street,BEACONSFIELD,NSW,2015,South East Sydney,Home Care,,,,Anglican Community Services,Religious,Major Cities of Australia,-33.9142355,151.2006855,"$371,435.21 "
ARV South East Sydney EACH Dementia,"Suite 101, Level 1, 530 Botany Road",1st Floor 72 O'Riordan Street,BEACONSFIELD,NSW,2015,South East Sydney,Home Care,,,,Anglican Community Services,Religious,Major Cities of Australia,-33.9142355,151.2006855,"$117,731.30 "
ARV South East Sydney EACH,"Suite 101, Level 1, 530 Botany Road",72 O'Riordan Street,BEACONSFIELD,NSW,2015,South East Sydney,Home Care,,,,Anglican Community Services,Religious,Major Cities of Australia,-33.9142355,151.2006855,"$759,409.33 "
ARV South West Sydney EACH Dementia,Suite 2,94 Main Street,MITTAGONG,NSW,2575,South West Sydney,Home Care,,,,Anglican Community Services,Religious,Inner Regional Australia,-34.45084644,150.4498766,"$907,741.05 "
ARV Sutherland Home Care,"Suite 4, Level 1, 305 Princes Highway",305 Princes Highway,CARLTON,NSW,2218,South East Sydney,Home Care,,,,Anglican Community Services,Religious,Major Cities of Australia,-33.97602368,151.1255309,"$130,947.89 "
ARV Western Sydney CACP,Hermon Slade House,1 Broughton Avenue,CASTLE HILL,NSW,2154,Northern Sydney,Home Care,,,,Anglican Community Services,Religious,Major Cities of Australia,-33.73060523,151.0219217,"$577,887.70 "
ARV Western Sydney EACH,Hermon Slade House,1 Broughton Avenue,CASTLE HILL,NSW,2154,Northern Sydney,Home Care,,,,Anglican Community Services,Religious,Major Cities of Australia,-33.73060523,151.0219217,"$56,920.24 "
Australian Chinese Community Association Housing Linked Packages,2 Mary Street,,SURRY HILLS,NSW,2010,South East Sydney,Home Care,,,,Australian Chinese Community Association of New South Wales,Community Based,Major Cities of Australia,-33.88039692,151.2103894,$0.00 
Australian Chinese Community Association South East Sydney CACPs,2 Mary Street,,SURRY HILLS,NSW,2010,South East Sydney,Home Care,,,,Australian Chinese Community Association of New South Wales,Community Based,Major Cities of Australia,-33.88039692,151.2103894,"$2,332,908.18 "
Australian Chinese Community Association Western Sydney CACPs,15 Hunter Street,,PARRAMATTA,NSW,2150,Western Sydney,Home Care,,,,Australian Chinese Community Association of New South Wales,Community Based,Major Cities of Australia,-33.815355,150.99874,"$4,984,641.81 "
Australian Home Care - South Eastern Sydney Metro,Suite 203 and 204,1 Erskineville Road,NEWTOWN,NSW,2042,Inner West,Home Care,,,,Australian Home Care Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,-33.89711485,151.1802554,"$803,387.79 "
Australian Nursing Home Foundation - CACP Inner West,58 Weldon Street,,BURWOOD,NSW,2134,Inner West,Home Care,,,,Australian Nursing Home Foundation Limited,Charitable,Major Cities of Australia,-33.88675757,151.1060454,"$1,186,890.14 "
Australian Nursing Home Foundation - CACP Northern Sydney,5/26 Rowe Street,,EASTWOOD,NSW,2122,Northern Sydney,Home Care,,,,Australian Nursing Home Foundation Limited,Charitable,Major Cities of Australia,-33.79096346,151.0855787,"$2,265,701.51 "
Australian Nursing Home Foundation - CACPs Western Sydney,413 Beamish Street,,CAMPSIE,NSW,2194,Inner West,Home Care,,,,Australian Nursing Home Foundation Limited,Charitable,Major Cities of Australia,-33.91720575,151.1046079,"$1,350,623.67 "
Australian Nursing Home Foundation EACH South West Sydney,17 Greenfield Road,,GREENFIELD PARK,NSW,2176,South West Sydney,Home Care,,,,Australian Nursing Home Foundation Limited,Charitable,Major Cities of Australia,-33.87139109,150.8924171,"$61,600.11 "
Australian Unity Community Care Central Coast,"Unit 30, 15 Bias Avenue",Level 6 Aurora Place,BATEAU BAY,NSW,2561,Central Coast,Home Care,,,,Australian Unity Retirement Living Management Pty Ltd,Private Incorporated Body,Major Cities of Australia,-33.37828218,151.4789284,"$264,250.69 "
Australian Unity Community Care Central Coast,"Unit 30, 15 Bias Avenue",Level 6 88 Phillip Street,BATEAU BAY,NSW,2561,Central Coast,Home Care,,,,Australian Unity Retirement Living Management Pty Ltd,Private Incorporated Body,Major Cities of Australia,-33.37828218,151.4789284,"$84,054.69 "
Australian Unity Community Care Northern Sydney,88 Willandra Street,Level 6 88 Phillip Street,CROMER,NSW,2099,Northern Sydney,Home Care,,,,Australian Unity Retirement Living Management Pty Ltd,Private Incorporated Body,Major Cities of Australia,-33.73968818,151.2701474,"$74,211.20 "
Australian Unity Community Care Northern Sydney,88 Willandra Street,Level 6 88 Phillip Street,CROMER,NSW,2099,Northern Sydney,Home Care,,,,Australian Unity Retirement Living Management Pty Ltd,Private Incorporated Body,Major Cities of Australia,-33.73968818,151.2701474,"$24,942.41 "
Australian Unity Community Care South West Sydney,3 Centenary Avenue,Level 6 88 Phillip Street,NORTHMEAD,NSW,2152,Western Sydney,Home Care,,,,Australian Unity Retirement Living Management Pty Ltd,Private Incorporated Body,Major Cities of Australia,-33.78881106,150.9787296,"$15,863.40 "
Australian Unity Community Care Western Sydney,3 Centenary Avenue,,NORTHMEAD,NSW,2152,Western Sydney,Home Care,,,,Australian Unity Retirement Living Management Pty Ltd,Private Incorporated Body,Major Cities of Australia,-33.78881106,150.9787296,$0.00 
Awabakal Community Aged Care Packages,64 Hannell Street,,WICKHAM,NSW,2293,Hunter,Home Care,,,,Awabakal Ltd,Community Based,Major Cities of Australia,-32.92214902,151.7600569,"$3,431,515.17 "
Bankstown Home Based Services,145 Rex Road,,GEORGES HALL,NSW,2198,South West Sydney,Home Care,,,,Bankstown City Aged Care Ltd,Community Based,Major Cities of Australia,-33.91078922,150.9851935,"$2,592,988.49 "
Bankstown Home Based Services,145 Rex Road,,GEORGES HALL,NSW,2198,South West Sydney,Home Care,,,,Bankstown City Aged Care Ltd,Community Based,Major Cities of Australia,-33.91078922,150.9851935,"$100,931.66 "
Bathurst CACPs,Level 1,50 O'Connell Street,PARRAMATTA,NSW,2150,Western Sydney,Home Care,,,,Southern Cross Care Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,-33.80601245,151.0029048,"$381,318.65 "
Baulkham Hills CACPs,Level 1,50 O'Connell Street,PARRAMATTA,NSW,2150,Western Sydney,Home Care,,,,Southern Cross Care Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,-33.80601245,151.0029048,"$9,763,266.04 "
Baycare - Bay & Basin Community Care Service,124 Macleans Point Road,,SANCTUARY POINT,NSW,2540,Illawarra,Home Care,,,,Bay & Basin Community Resources Limited,Community Based,Inner Regional Australia,-35.10623744,150.623864,"$3,321,950.61 "
Home Services Central Coast,"Shop 1 & 2, Morisset Square Shopping Centre",35 Yambo Street,MORISSET,NSW,2264,Hunter,Home Care,,,,BaptistCare NSW & ACT,Charitable,Major Cities of Australia,-33.10716122,151.4877227,"$4,460,829.67 "
Home Services Central West,3 / 119 Kendal Street,(PO Box 238),COWRA,NSW,2794,Central West,Home Care,,,,BaptistCare NSW & ACT,Charitable,Inner Regional Australia,-33.83529976,148.6916866,"$2,164,085.69 "
Home Services Hunter,"Shop 1 & 2, Morisset Square Shopping Centre",35 Yambo Street,MORISSET,NSW,2264,Hunter,Home Care,,,,BaptistCare NSW & ACT,Charitable,Major Cities of Australia,-33.10716122,151.4877227,"$4,887,149.64 "
Home Services Northern Sydney,Iliffe Centre 157 Balaclava Road,,MACQUARIE PARK,NSW,2113,Northern Sydney,Home Care,,,,BaptistCare NSW & ACT,Charitable,Major Cities of Australia,-33.77827774,151.1109563,"$7,294,037.39 "
Home Services Mid North Coast,90 KULAROO Drive,,FORSTER,NSW,2428,Mid North Coast,Home Care,,,,BaptistCare NSW & ACT,Charitable,Inner Regional Australia,-32.19838293,152.5268419,"$6,738,951.12 "
Home Services Mid State,251 Cobra Street,,DUBBO,NSW,2830,Orana Far West,Home Care,,,,BaptistCare NSW & ACT,Charitable,Inner Regional Australia,-32.25744812,148.6275515,"$2,596,778.50 "
Home Services Nepean,"Suite 2003, Level 2, Borec House",21-23 Station Street,PENRITH,NSW,2750,Nepean,Home Care,,,,BaptistCare NSW & ACT,Charitable,Major Cities of Australia,-33.7511576,150.6954069,"$2,107,406.76 "
Home Services Hills,BCS Care Centre - Hills,8 Free Settlers Drive,KELLYVILLE,NSW,2155,Western Sydney,Home Care,,,,BaptistCare NSW & ACT,Charitable,Major Cities of Australia,-33.72013779,150.9440843,"$7,371,298.43 "
Home Services Far North Coast,15 The Avenue,,ALSTONVILLE,NSW,2477,Far North Coast,Home Care,,,,BaptistCare NSW & ACT,Charitable,Inner Regional Australia,-28.8407184,153.435638,"$2,592,263.88 "
Home Services Murrumbidgee,76 A Johnston Street,24-26 Forsyth Street,WAGGA WAGGA,NSW,2650,Riverina/Murray,Home Care,,,,BaptistCare NSW & ACT,Charitable,Inner Regional Australia,-35.10855881,147.3676839,"$10,117,164.39 "
Home Services South West Sydney,49 Lodges Road,31-37 Ashford Avenue,NARELLAN,NSW,2567,South West Sydney,Home Care,,,,BaptistCare NSW & ACT,Charitable,Major Cities of Australia,-34.052771,150.731677,"$4,805,266.34 "
